"","player","week","fantpt"
"694","Julian Edelman","3",8.9
"695","Lance Kendricks","3",8.9
"696","Alfred Blue","3",8.8
"697","Austin Pettis","3",8.8
"698","Teddy Bridgewater","3",8.7
"699","Andrew Hawkins","3",8.7
"700","Mike Wallace","3",8.6
"701","Marques Colston","3",8.5
"702","Brian Hartline","3",8.5
"703","Jake Locker","3",8.4
"704","Daniel Fells","3",8.2
"705","Calvin Johnson","3",8.2
"706","Jacob Tamme","3",8.2
"707","T.Y. Hilton","3",8
"708","Trent Richardson","3",8
"709","Taylor Gabriel","3",7.9
"710","Allen Robinson","3",7.9
"711","Cyrus Gray","3",7.8
"712","Alfred Morris","3",7.7
"713","Julius Thomas","3",7.7
"714","Matt Forte","3",7.6
"715","Jared Cook","3",7.5
"716","Andre Ellington","3",7.5
"717","Vincent Jackson","3",7.5
"718","Scott Chandler","3",7.4
"719","Brandin Cooks","3",7.4
"720","Harry Douglas","3",7.4
"721","Matt Asiata","3",7.1
"722","Kenny Britt","3",7.1
"723","Carlos Hyde","3",7.1
"724","Greg Jennings","3",7
"725","Bishop Sankey","3",7
"726","Khiry Robinson","3",6.9
"727","Eric Weems","3",6.9
"728","Niles Paul","3",6.8
"729","Justin Forsett","3",6.5
"730","Darren McFadden","3",6.5
"731","Bobby Rainey","3",6.5
"732","Darrel Young","3",6.5
"733","Ladarius Green","3",6.4
"734","Toby Gerhart","3",6.3
"735","Donte Moncrief","3",6.2
"736","C.J. Spiller","3",6.2
"737","Reggie Wayne","3",6.2
"738","Stevan Ridley","3",6.1
"739","Wes Welker","3",6
"740","Jordy Nelson","3",5.9
"741","Doug Baldwin","3",5.6
"742","Greg Salas","3",5.6
"743","Jace Amaro","3",5.4
"744","Jimmy Graham","3",5.4
"745","Cordarrelle Patterson","3",5.4
"746","Delanie Walker","3",5.4
"747","Dwayne Bowe","3",5.2
"748","Mike Evans","3",5.2
"749","Corey Fuller","3",5.2
"750","Heath Miller","3",5.1
"751","Golden Tate","3",5.1
"752","Demaryius Thomas","3",5.1
"753","Derek Carr","3",5
"754","Jonathan Stewart","3",5
"755","Jason Witten","3",4.9
"756","Philly Brown","3",4.6
"757","Brandon LaFell","3",4.6
"758","Matthew Stafford","3",4.6
"759","Kendall Wright","3",4.4
"760","James Jones","3",4.3
"761","Percy Harvin","3",4.2
"762","Travis Benjamin","3",4.1
"763","Garrett Graham","3",4.1
"764","Andre Roberts","3",3.8
"765","James Starks","3",3.8
"766","Kenny Stills","3",3.8
"767","Justin Hunter","3",3.7
"768","Shane Vereen","3",3.7
"769","Anquan Boldin","3",3.6
"770","Jonathan Grimes","3",3.6
"771","Daniel Thomas","3",3.6
"772","Patrick DiMarco","3",3.5
"773","Markus Wheaton","3",3.5
"774","Riley Cooper","3",3.4
"775","Benny Cunningham","3",3.4
"776","Chris Johnson","3",3.4
"777","Joique Bell","3",3.3
"778","John Carlson","3",3.3
"779","Brandon Myers","3",3.3
"780","Preston Parker","3",3.3
"781","Denard Robinson","3",3.3
"782","Rod Streater","3",3.2
"783","Darren Sproles","3",3
"784","Brenton Bersin","3",2.9
"785","Randall Cobb","3",2.9
"786","Andre Holmes","3",2.9
"787","Jermaine Kearse","3",2.9
"788","Rueben Randle","3",2.7
"789","Kyle Rudolph","3",2.7
"790","Matt Cassel","3",2.6
"791","Marcel Reece","3",2.6
"792","Craig Stevens","3",2.6
"793","Will Ta'ufo'ou","3",2.6
"794","Larry Donnell","3",2.5
"795","Eddie Lacy","3",2.5
"796","Torrey Smith","3",2.5
"797","Montee Ball","3",2.4
